Year,Recon,Observed
1569,6374653,-9999
1570,8974935,-9999
1571,6947425,-9999
1572,8805974,-9999
1573,5414633,-9999
1574,3738194,-9999
1575,7686349,-9999
1576,5137781,-9999
1577,8168256,-9999
1578,7756051,-9999
1579,5673707,-9999
1580,3028517,-9999
1581,5738981,-9999
1582,6767262,-9999
1583,6063672,-9999
1584,1795865,-9999
1585,5665219,-9999
1586,7753628,-9999
1587,5998962,-9999
1588,7928923,-9999
1589,7445606,-9999
1590,2937872,-9999
1591,5493788,-9999
1592,4752296,-9999
1593,6959893,-9999
1594,8019235,-9999
1595,8627026,-9999
1596,8719575,-9999
1597,5843421,-9999
1598,1765178,-9999
1599,9264474,-9999
1600,2867762,-9999
1601,8762419,-9999
1602,8552023,-9999
1603,8846793,-9999
1604,8899056,-9999
1605,8840966,-9999
1606,7335956,-9999
1607,3904568,-9999
1608,8638880,-9999
1609,6634413,-9999
1610,9225070,-9999
1611,7676026,-9999
1612,6694434,-9999
1613,9096120,-9999
1614,8233361,-9999
1615,8256142,-9999
1616,8012067,-9999
1617,8669537,-9999
1618,7810857,-9999
1619,7315489,-9999
1620,6941423,-9999
1621,10978122,-9999
1622,5569853,-9999
1623,6097160,-9999
1624,4355864,-9999
1625,4037747,-9999
1626,4447155,-9999
1627,7691239,-9999
1628,6690525,-9999
1629,6323352,-9999
1630,6914611,-9999
1631,4290837,-9999
1632,4755967,-9999
1633,9538293,-9999
1634,5419929,-9999
1635,5399328,-9999
1636,6768062,-9999
1637,5843501,-9999
1638,6089118,-9999
1639,7327158,-9999
1640,7462294,-9999
1641,6312889,-9999
1642,7195991,-9999
1643,5800342,-9999
1644,7639163,-9999
1645,3714842,-9999
1646,3697982,-9999
1647,7521541,-9999
1648,6801837,-9999
1649,9224792,-9999
1650,7804179,-9999
1651,7796935,-9999
1652,6267729,-9999
1653,4031248,-9999
1654,3209306,-9999
1655,10014027,-9999
1656,4872923,-9999
1657,6347118,-9999
1658,4819728,-9999
1659,7051199,-9999
1660,7587911,-9999
1661,7213040,-9999
1662,7948414,-9999
1663,6231152,-9999
1664,5666099,-9999
1665,6068228,-9999
1666,4992056,-9999
1667,4783616,-9999
1668,5405316,-9999
1669,9517114,-9999
1670,4627195,-9999
1671,4735958,-9999
1672,9036372,-9999
1673,7932464,-9999
1674,7938430,-9999
1675,5014616,-9999
1676,8839565,-9999
1677,5672961,-9999
1678,10699287,-9999
1679,6074495,-9999
1680,10098742,-9999
1681,7698277,-9999
1682,6438836,-9999
1683,9437815,-9999
1684,4553856,-9999
1685,789829,-9999
1686,4824238,-9999
1687,7008696,-9999
1688,8982132,-9999
1689,7413844,-9999
1690,7389475,-9999
1691,7904839,-9999
1692,7826747,-9999
1693,7970478,-9999
1694,5924645,-9999
1695,5948836,-9999
1696,7209094,-9999
1697,6507460,-9999
1698,9064981,-9999
1699,8131608,-9999
1700,5646695,-9999
1701,8873810,-9999
1702,7124673,-9999
1703,5748636,-9999
1704,4747258,-9999
1705,8704021,-9999
1706,4554107,-9999
1707,4935372,-9999
1708,4431336,-9999
1709,7937175,-9999
1710,7330752,-9999
1711,6402366,-9999
1712,7221761,-9999
1713,5948943,-9999
1714,2958823,-9999
1715,7958939,-9999
1716,7154457,-9999
1717,5260194,-9999
1718,8384345,-9999
1719,9013915,-9999
1720,11235635,-9999
1721,5521065,-9999
1722,3463154,-9999
1723,6288988,-9999
1724,7411275,-9999
1725,8238529,-9999
1726,10980802,-9999
1727,7716924,-9999
1728,5703816,-9999
1729,3809131,-9999
1730,6038764,-9999
1731,6657353,-9999
1732,6100275,-9999
1733,7395794,-9999
1734,8865198,-9999
1735,2539974,-9999
1736,4059535,-9999
1737,6161059,-9999
1738,7709875,-9999
1739,7196313,-9999
1740,4539862,-9999
1741,8296041,-9999
1742,7292753,-9999
1743,8097672,-9999
1744,4978737,-9999
1745,7635721,-9999
1746,8843966,-9999
1747,9867087,-9999
1748,3172557,-9999
1749,8452652,-9999
1750,5211460,-9999
1751,7757990,-9999
1752,5442777,-9999
1753,8737077,-9999
1754,6002727,-9999
1755,5396254,-9999
1756,2986454,-9999
1757,5422611,-9999
1758,7490439,-9999
1759,5935938,-9999
1760,8035853,-9999
1761,8516654,-9999
1762,8515931,-9999
1763,4416510,-9999
1764,8852578,-9999
1765,4076081,-9999
1766,7731131,-9999
1767,6379343,-9999
1768,9699388,-9999
1769,8727443,-9999
1770,6019475,-9999
1771,9352134,-9999
1772,4337579,-9999
1773,4505878,-9999
1774,7085345,-9999
1775,6782477,-9999
1776,5847124,-9999
1777,5617137,-9999
1778,4472289,-9999
1779,6586411,-9999
1780,5962349,-9999
1781,6077980,-9999
1782,4297496,-9999
1783,7218143,-9999
1784,8944011,-9999
1785,7849263,-9999
1786,3874351,-9999
1787,8042843,-9999
1788,5855835,-9999
1789,5218154,-9999
1790,10282243,-9999
1791,8072988,-9999
1792,8936373,-9999
1793,6178885,-9999
1794,6749519,-9999
1795,4639333,-9999
1796,8713749,-9999
1797,8557743,-9999
1798,2270177,-9999
1799,9118867,-9999
1800,7038055,-9999
1801,6170259,-9999
1802,8540852,-9999
1803,5132805,-9999
1804,5458537,-9999
1805,5831509,-9999
1806,5412194,-9999
1807,7694784,-9999
1808,7152926,-9999
1809,5626474,-9999
1810,7274214,-9999
1811,9503214,-9999
1812,6772100,-9999
1813,5206885,-9999
1814,4882502,-9999
1815,8358004,-9999
1816,8793145,-9999
1817,7846197,-9999
1818,5857545,-9999
1819,7154138,-9999
1820,5747401,-9999
1821,7768607,-9999
1822,5699428,-9999
1823,7834436,-9999
1824,3369604,-9999
1825,6862540,-9999
1826,8903101,-9999
1827,6627308,-9999
1828,9929123,-9999
1829,3979093,-9999
1830,6980790,-9999
1831,8941709,-9999
1832,9617127,-9999
1833,5832621,-9999
1834,4700545,-9999
1835,7024584,-9999
1836,7366886,-9999
1837,9303305,-9999
1838,9412222,-9999
1839,8468046,-9999
1840,9314798,-9999
1841,8829132,-9999
1842,4272838,-9999
1843,8705079,-9999
1844,7372164,-9999
1845,2116669,-9999
1846,4395332,-9999
1847,3896025,-9999
1848,7087064,-9999
1849,11288172,-9999
1850,7608891,-9999
1851,1573884,-9999
