Year,Recon,Observed
1525,2370689,-9999
1526,2087022,-9999
1527,2309966,-9999
1528,1959575,-9999
1529,2309183,-9999
1530,2399782,-9999
1531,1347647,-9999
1532,1214916,-9999
1533,2232122,-9999
1534,2307987,-9999
1535,2327397,-9999
1536,2474884,-9999
1537,2334518,-9999
1538,1555070,-9999
1539,2331726,-9999
1540,2476194,-9999
1541,2214843,-9999
1542,816595,-9999
1543,2289555,-9999
1544,1694313,-9999
1545,1524002,-9999
1546,2559915,-9999
1547,2111979,-9999
1548,2179518,-9999
1549,2871835,-9999
1550,2482976,-9999
1551,1468642,-9999
1552,1694459,-9999
1553,2763288,-9999
1554,2352261,-9999
1555,2920073,-9999
1556,2497785,-9999
1557,2767709,-9999
1558,1380412,-9999
1559,1763038,-9999
1560,2445248,-9999
1561,2087227,-9999
1562,1867831,-9999
1563,2007253,-9999
1564,2766223,-9999
1565,2423296,-9999
1566,2186894,-9999
1567,1757077,-9999
1568,1968508,-9999
1569,2241910,-9999
1570,2473090,-9999
1571,2208431,-9999
1572,2432861,-9999
1573,1882412,-9999
1574,1573245,-9999
1575,2362740,-9999
1576,1507880,-9999
1577,2811407,-9999
1578,2272404,-9999
1579,1929730,-9999
1580,1354167,-9999
1581,1623074,-9999
1582,2370317,-9999
1583,1838565,-9999
1584,696591,-9999
1585,1356577,-9999
1586,2417104,-9999
1587,1865025,-9999
1588,2377656,-9999
1589,2394647,-9999
1590,1152150,-9999
1591,1378926,-9999
1592,1576102,-9999
1593,1967765,-9999
1594,2582219,-9999
1595,2214209,-9999
1596,2384354,-9999
1597,1353631,-9999
1598,763481,-9999
1599,2323171,-9999
1600,1410248,-9999
1601,1988883,-9999
1602,2137669,-9999
1603,2479241,-9999
1604,2640279,-9999
1605,2748865,-9999
1606,2115837,-9999
1607,996583,-9999
1608,2535568,-9999
1609,1809783,-9999
1610,2531601,-9999
1611,2405972,-9999
1612,2060891,-9999
1613,2226925,-9999
1614,2440214,-9999
1615,2423757,-9999
1616,2209036,-9999
1617,2625097,-9999
1618,2538526,-9999
1619,2095150,-9999
1620,2035877,-9999
1621,2492715,-9999
1622,1510144,-9999
1623,2205665,-9999
1624,1755942,-9999
1625,1718097,-9999
1626,1822500,-9999
1627,1908571,-9999
1628,2290698,-9999
1629,2019726,-9999
1630,1968278,-9999
1631,1622464,-9999
1632,1964466,-9999
1633,2510925,-9999
1634,1297573,-9999
1635,1846891,-9999
1636,2241461,-9999
1637,2182087,-9999
1638,1779937,-9999
1639,2505945,-9999
1640,2505945,-9999
1641,2059935,-9999
1642,2268025,-9999
1643,1996478,-9999
1644,1952840,-9999
1645,1167267,-9999
1646,1233191,-9999
1647,2943680,-9999
1648,2360646,-9999
1649,2687154,-9999
1650,2354475,-9999
1651,2377212,-9999
1652,1997642,-9999
1653,1191103,-9999
1654,956293,-9999
1655,3446380,-9999
1656,1931745,-9999
1657,2302151,-9999
1658,1538200,-9999
1659,2250325,-9999
1660,2024551,-9999
1661,2674602,-9999
1662,2028343,-9999
1663,2136210,-9999
1664,1120698,-9999
1665,2150946,-9999
1666,1864329,-9999
1667,1223414,-9999
1668,1495486,-9999
1669,2548460,-9999
1670,1928326,-9999
1671,1444442,-9999
1672,2563155,-9999
1673,2489995,-9999
1674,2089129,-9999
1675,1828943,-9999
1676,2894703,-9999
1677,2035487,-9999
1678,3006683,-9999
1679,2130270,-9999
1680,3073996,-9999
1681,2121914,-9999
1682,1686060,-9999
1683,2645370,-9999
1684,1853980,-9999
1685,414046,-9999
1686,1127412,-9999
1687,2437675,-9999
1688,2376639,-9999
1689,2354189,-9999
1690,2283929,-9999
1691,2498803,-9999
1692,1902559,-9999
1693,2319675,-9999
1694,2560048,-9999
1695,1399177,-9999
1696,2334012,-9999
1697,2268050,-9999
1698,2294376,-9999
1699,2214035,-9999
1700,1922184,-9999
1701,2899156,-9999
1702,2781000,-9999
1703,1773827,-9999
1704,1282077,-9999
1705,2298916,-9999
1706,1632688,-9999
1707,1719073,-9999
1708,1456309,-9999
1709,2131954,-9999
1710,2267774,-9999
1711,1770438,-9999
1712,2269699,-9999
1713,1844368,-9999
1714,1145998,-9999
1715,2111426,-9999
1716,1926378,-9999
1717,2026971,-9999
1718,2452991,-9999
1719,2618735,-9999
1720,2972362,-9999
1721,1925859,-9999
1722,1568720,-9999
1723,1774598,-9999
1724,2331593,-9999
1725,2511450,-9999
1726,3220128,-9999
1727,2148531,-9999
1728,1742213,-9999
1729,1461271,-9999
1730,1898516,-9999
1731,2358620,-9999
1732,2043328,-9999
1733,2524261,-9999
1734,2734790,-9999
1735,1368653,-9999
1736,1071252,-9999
1737,1612806,-9999
1738,2362485,-9999
1739,2722523,-9999
1740,1442607,-9999
1741,2898003,-9999
1742,2004881,-9999
1743,2532710,-9999
1744,1917256,-9999
1745,2213748,-9999
1746,2539064,-9999
1747,2715638,-9999
1748,1169597,-9999
1749,2600723,-9999
1750,1509786,-9999
1751,2311573,-9999
1752,2328543,-9999
1753,2322350,-9999
1754,2194222,-9999
1755,1883670,-9999
1756,1258283,-9999
1757,1918901,-9999
1758,2405715,-9999
1759,1433182,-9999
1760,2415638,-9999
1761,2798239,-9999
1762,2794654,-9999
1763,1578529,-9999
1764,2767516,-9999
1765,1694026,-9999
1766,2473115,-9999
1767,1632969,-9999
1768,3055139,-9999
1769,2361993,-9999
1770,1707998,-9999
1771,2226080,-9999
1772,1821531,-9999
1773,1621194,-9999
1774,2151314,-9999
1775,2032944,-9999
1776,1576446,-9999
1777,1309780,-9999
1778,1945498,-9999
1779,1889481,-9999
1780,1783551,-9999
1781,1874118,-9999
1782,1638926,-9999
1783,1939961,-9999
1784,2610837,-9999
1785,2261131,-9999
1786,1523262,-9999
1787,2608038,-9999
1788,1779420,-9999
1789,1448063,-9999
1790,3047164,-9999
1791,2116097,-9999
