Year ,LF Obs,Gleenwood Obs,Gunnison Obs,Cisco Obs,GreenWY Obs,GreenUT Obs
1906,18214678,2704899,2786168,8042414,1619511,6643543
1907,21234305,3105421,2888906,8551631,2145843,9297303
1908,11773952,1705109,1662635,5191180,1267635,4734316
1909,21841427,3149538,2948996,9030357,2211091,9129833
1910,14736670,1899785,2420233,6587653,1343976,5380917
1911,15125081,2192683,2585971,7251910,1025708,4751681
1912,19082127,2986978,3244447,9363498,1759971,6708358
1913,14472192,1827716,1914399,6098750,1954937,6023589
1914,21066767,3083510,3225511,8898320,1969356,7815479
1915,14137603,1813893,2191647,6026415,920300,4215434
1916,19187542,2296806,3020263,8343066,1863300,6481466
1917,23849259,3035596,3247363,9661928,2181400,9157766
1918,15750724,2866723,2467537,7353690,1871700,5890585
1919,12951469,1701996,2132276,5884218,787000,3945103
1920,21927976,2832348,3461522,9908922,1596100,6749065
1921,22703070,2978316,3178778,9802845,1880900,7971213
1922,18524420,2094881,2809986,7983178,1916000,6943408
1923,18327468,2598303,2833919,8245998,1782400,7059075
1924,14650942,2279577,2434728,6930321,1179800,4562559
1925,13514438,1890624,2171433,6042821,1503600,4835784
1926,16248626,2689544,2450765,7660758,1210500,5218147
1927,18689765,2468717,2835072,8471257,1693100,6114256
1928,17770602,2914777,2920545,8624038,1648500,6779847
1929,21791156,2833078,3497866,9653889,1242300,7657698
1930,15130571,2203512,2532188,7244173,1461300,5176688
1931,8868682,1337041,1228972,3978451,696100,3355729
1932,17809509,2106024,2719264,7857118,1242400,5875101
1933,12312744,2027347,1925372,5821050,978800,4544358
1934,6589700,1118162,1074018,3329525,466300,1987835
1935,12248940,1700049,1865888,5881783,991100,3660333
1936,14521432,2400749,2241926,7065645,1679900,5098558
1937,14159154,1560946,1951457,5824235,1298200,4939481
1938,17918453,2575401,2962277,8731453,1441100,5620481
1939,11699708,1859169,1882992,5490650,1077600,4152066
1940,9422918,1442183,1514542,4681476,571500,3176924
1941,18269619,1821173,2793246,7791509,1155500,4925309
1942,19333147,2059865,3373879,8928755,1360400,5712569
1943,13613558,1989162,2214193,6420332,1778900,5040577
1944,15422647,1639846,2660197,7124088,1416500,5191737
1945,14040218,1878229,2301694,6671738,1205900,5026782
1946,11000258,1700540,1704655,5243989,1305322,4234126
1947,15851265,2408338,2330043,7277768,1887738,6247578
1948,15761665,2044065,2877453,7649066,1284413,4843580
1949,16733517,2190356,2600926,7459074,1315914,5808726
1950,13111501,1658232,1824016,5378390,2066279,6145089
1951,12445707,2249649,1670670,5413946,2102820,5513448
1952,20850053,2872648,3174363,9279848,1708269,7758469
1953,11154855,1894235,1794128,5340592,1219510,4134686
1954,8304000,1056160,1143568,3470822,1296284,3335127
1955,9709235,1413513,1508286,4631302,946740,3549031
1956,11622348,1883692,1592440,5063190,1764953,5330759
