Year,Recon,Observed
1525,4974154,-9999
1526,4847751,-9999
1527,6178721,-9999
1528,3864403,-9999
1529,5420271,-9999
1530,4627453,-9999
1531,4201933,-9999
1532,2701229,-9999
1533,4043038,-9999
1534,4847519,-9999
1535,6526649,-9999
1536,6788620,-9999
1537,5451048,-9999
1538,2981941,-9999
1539,5220420,-9999
1540,5143923,-9999
1541,5434125,-9999
1542,1169005,-9999
1543,4093040,-9999
1544,4914390,-9999
1545,3417789,-9999
1546,6439956,-9999
1547,5061094,-9999
1548,6012082,-9999
1549,8241515,-9999
1550,7306855,-9999
1551,4383627,-9999
1552,3286179,-9999
1553,7783877,-9999
1554,5671093,-9999
1555,5180553,-9999
1556,5479193,-9999
1557,6662199,-9999
1558,3376766,-9999
1559,4481530,-9999
1560,6722043,-9999
1561,5376231,-9999
1562,5595150,-9999
1563,4727984,-9999
1564,7509842,-9999
1565,6084572,-9999
1566,5720722,-9999
1567,5191619,-9999
1568,5573228,-9999
1569,5248007,-9999
1570,6565386,-9999
1571,4869965,-9999
1572,6721410,-9999
1573,4235114,-9999
1574,2993759,-9999
1575,5967877,-9999
1576,3777388,-9999
1577,7812909,-9999
1578,6182955,-9999
1579,4180178,-9999
1580,1956825,-9999
1581,5372891,-9999
1582,6740592,-9999
1583,5528040,-9999
1584,576758,-9999
1585,2917521,-9999
1586,6896308,-9999
1587,5003925,-9999
1588,5586327,-9999
1589,6594695,-9999
1590,2331455,-9999
1591,3726633,-9999
1592,2760941,-9999
1593,4626892,-9999
1594,6427476,-9999
1595,6468064,-9999
1596,7341167,-9999
1597,4346171,-9999
1598,704529,-9999
1599,6965106,-9999
1600,2742949,-9999
1601,6077255,-9999
1602,6052778,-9999
1603,6758185,-9999
1604,7646415,-9999
1605,7132586,-9999
1606,5004198,-9999
1607,1660661,-9999
1608,6501167,-9999
1609,5129987,-9999
1610,5597811,-9999
1611,6526251,-9999
1612,6581178,-9999
1613,5595350,-9999
1614,7001623,-9999
1615,6427415,-9999
1616,6711863,-9999
1617,7346212,-9999
1618,6265630,-9999
1619,5136100,-9999
1620,6098145,-9999
1621,6159864,-9999
1622,5090252,-9999
1623,5497675,-9999
1624,4050598,-9999
1625,4468103,-9999
1626,3370742,-9999
1627,4241407,-9999
1628,6740327,-9999
1629,4466994,-9999
1630,4991379,-9999
1631,4654930,-9999
1632,3706213,-9999
1633,6582570,-9999
1634,2909630,-9999
1635,4623769,-9999
1636,6240113,-9999
1637,5051728,-9999
1638,4317882,-9999
1639,5924248,-9999
1640,6865419,-9999
1641,4861206,-9999
1642,6311498,-9999
1643,4523027,-9999
1644,5241516,-9999
1645,1835205,-9999
1646,2626864,-9999
1647,6280394,-9999
1648,6133281,-9999
1649,7327286,-9999
1650,6800193,-9999
1651,5726022,-9999
1652,6443228,-9999
1653,3369752,-9999
1654,1836325,-9999
1655,8960509,-9999
1656,4151082,-9999
1657,4398770,-9999
1658,3633067,-9999
1659,5472800,-9999
1660,4172482,-9999
1661,6076578,-9999
1662,4957747,-9999
1663,4561206,-9999
1664,3339611,-9999
1665,5043395,-9999
1666,5121369,-9999
1667,1914845,-9999
1668,2989287,-9999
1669,7301165,-9999
1670,4478260,-9999
1671,4714525,-9999
1672,6253959,-9999
1673,6600855,-9999
1674,5130883,-9999
1675,3782908,-9999
1676,8999609,-9999
1677,5500981,-9999
1678,7032547,-9999
1679,5159717,-9999
1680,9211582,-9999
1681,4905008,-9999
1682,4037448,-9999
1683,7325387,-9999
1684,5540977,-9999
1685,-205651,-9999
1686,2842514,-9999
1687,6913310,-9999
1688,6369361,-9999
1689,6386712,-9999
1690,5030285,-9999
1691,6582573,-9999
1692,5128600,-9999
1693,5943308,-9999
1694,6466122,-9999
1695,4042653,-9999
1696,5570400,-9999
1697,5980610,-9999
1698,6360441,-9999
1699,5349811,-9999
1700,5304326,-9999
1701,7758094,-9999
1702,8133387,-9999
1703,4010218,-9999
1704,3199847,-9999
1705,5226167,-9999
1706,3923678,-9999
1707,4643184,-9999
1708,3297227,-9999
1709,5855786,-9999
1710,5679197,-9999
1711,4145298,-9999
1712,5317220,-9999
1713,4143654,-9999
1714,2764182,-9999
1715,5708261,-9999
1716,5345539,-9999
1717,4267115,-9999
1718,6080665,-9999
1719,7283589,-9999
1720,8842335,-9999
1721,4984739,-9999
1722,3224693,-9999
1723,3484528,-9999
1724,5826188,-9999
1725,6028049,-9999
1726,9540615,-9999
1727,6165649,-9999
1728,4520005,-9999
1729,3332960,-9999
1730,5429962,-9999
1731,6172194,-9999
1732,4983305,-9999
1733,7748651,-9999
1734,6791708,-9999
1735,1790297,-9999
1736,1079099,-9999
1737,4540800,-9999
1738,5982028,-9999
1739,6822953,-9999
1740,3281455,-9999
1741,7454865,-9999
1742,5242832,-9999
1743,6580997,-9999
1744,3826297,-9999
1745,5502427,-9999
1746,6722842,-9999
1747,7301190,-9999
1748,3980870,-9999
1749,6145707,-9999
1750,5024314,-9999
1751,6502671,-9999
1752,5813215,-9999
1753,6971727,-9999
1754,5580160,-9999
1755,4107630,-9999
1756,2551042,-9999
1757,5151747,-9999
1758,5372338,-9999
1759,3671605,-9999
1760,5984176,-9999
1761,7012321,-9999
1762,6669363,-9999
1763,2901426,-9999
1764,6707330,-9999
1765,4237490,-9999
1766,6850813,-9999
1767,4864025,-9999
1768,7204853,-9999
1769,7023246,-9999
1770,4583492,-9999
1771,6502557,-9999
1772,3940617,-9999
1773,3460129,-9999
1774,5460523,-9999
1775,5440279,-9999
1776,3442623,-9999
1777,3657528,-9999
1778,3772889,-9999
1779,5153047,-9999
1780,4579479,-9999
1781,5122868,-9999
1782,3584268,-9999
1783,4805858,-9999
1784,6977991,-9999
1785,5709338,-9999
1786,3621661,-9999
1787,7103895,-9999
1788,4495756,-9999
1789,3319579,-9999
1790,7516952,-9999
1791,5427339,-9999
1792,7552014,-9999
1793,4164691,-9999
1794,4697623,-9999
1795,4569970,-9999
1796,5892176,-9999
1797,7925961,-9999
1798,1197771,-9999
1799,6713631,-9999
1800,3994312,-9999
1801,5355225,-9999
1802,6970924,-9999
1803,4403564,-9999
1804,3901066,-9999
1805,4591768,-9999
1806,5281407,-9999
1807,4758540,-9999
1808,6354854,-9999
1809,3808508,-9999
1810,5469424,-9999
1811,7214885,-9999
1812,5664885,-9999
1813,4673145,-9999
1814,3446939,-9999
1815,5129818,-9999
1816,5421081,-9999
1817,5162045,-9999
1818,4095630,-9999
1819,5691420,-9999
1820,4549078,-9999
1821,6343531,-9999
1822,4514341,-9999
1823,5747267,-9999
1824,2430264,-9999
1825,3606609,-9999
1826,6307281,-9999
1827,5088845,-9999
1828,6989304,-9999
1829,3266705,-9999
1830,5195463,-9999
1831,6331272,-9999
1832,6561207,-9999
1833,6482480,-9999
1834,3275826,-9999
1835,5362218,-9999
1836,4701415,-9999
1837,8142209,-9999
1838,6780024,-9999
1839,8300085,-9999
1840,6959229,-9999
1841,8079051,-9999
1842,2688968,-9999
1843,8501865,-9999
1844,4616039,-9999
1845,-53887,-9999
1846,2801271,-9999
1847,3603347,-9999
1848,5462399,-9999
1849,7151895,-9999
1850,7277517,-9999
1851,794843,-9999
1852,6552384,-9999
1853,7237438,-9999
1854,5504798,-9999
1855,1996349,-9999
1856,4588804,-9999
1857,4483467,-9999
1858,6171958,-9999
1859,5861270,-9999
1860,5522509,-9999
1861,2475003,-9999
1862,8460429,-9999
1863,5222470,-9999
1864,3598367,-9999
1865,5262216,-9999
1866,9413916,-9999
1867,8853437,-9999
1868,6770931,-9999
1869,6307051,-9999
1870,4610759,-9999
1871,921191,-9999
1872,6099748,-9999
1873,6326347,-9999
1874,3696370,-9999
1875,5138778,-9999
1876,5168461,-9999
1877,4072766,-9999
1878,4156702,-9999
1879,1643111,-9999
1880,4482258,-9999
1881,5073616,-9999
1882,3520779,-9999
1883,4758550,-9999
1884,7061720,-9999
1885,7108181,-9999
1886,3747987,-9999
1887,2221705,-9999
1888,4736687,-9999
1889,4300583,-9999
1890,4577317,-9999
1891,6587987,-9999
1892,5024712,-9999
1893,3854699,-9999
1894,5163966,-9999
1895,7014483,-9999
1896,2458861,-9999
1897,6154888,-9999
1898,5889461,-9999
1899,4468824,-9999
1900,4817262,-9999
