Year,Recon,Observed
1525,1440045,-9999
1526,1384925,-9999
1527,1137535,-9999
1528,838560,-9999
1529,1544451,-9999
1530,1283283,-9999
1531,915451,-9999
1532,781600,-9999
1533,1154484,-9999
1534,1432335,-9999
1535,1996056,-9999
1536,1937895,-9999
1537,1664790,-9999
1538,732961,-9999
1539,1668914,-9999
1540,1499617,-9999
1541,1163941,-9999
1542,678132,-9999
1543,1001614,-9999
1544,1396997,-9999
1545,1144364,-9999
1546,1693746,-9999
1547,1030382,-9999
1548,1369177,-9999
1549,1955348,-9999
1550,1688176,-9999
1551,1428614,-9999
1552,1524224,-9999
1553,1653539,-9999
1554,1340744,-9999
1555,1161687,-9999
1556,1536158,-9999
1557,1509299,-9999
1558,1019488,-9999
1559,1219270,-9999
1560,1769271,-9999
1561,1764538,-9999
1562,1201200,-9999
1563,1195551,-9999
1564,2014666,-9999
1565,1688395,-9999
1566,932770,-9999
1567,1378490,-9999
1568,1372516,-9999
1569,1177764,-9999
1570,1641231,-9999
1571,1186761,-9999
1572,1339400,-9999
1573,1253655,-9999
1574,1039732,-9999
1575,1337208,-9999
1576,1071204,-9999
1577,1693231,-9999
1578,1654572,-9999
1579,889523,-9999
1580,838106,-9999
1581,1479710,-9999
1582,1626011,-9999
1583,1556679,-9999
1584,628739,-9999
1585,1461596,-9999
1586,1638384,-9999
1587,951386,-9999
1588,1236220,-9999
1589,1738624,-9999
1590,776532,-9999
1591,1029142,-9999
1592,745046,-9999
1593,1340703,-9999
1594,1279221,-9999
1595,1668511,-9999
1596,2056246,-9999
1597,1482477,-9999
1598,1060537,-9999
1599,1832391,-9999
1600,599456,-9999
1601,2266957,-9999
1602,1634478,-9999
1603,1958168,-9999
1604,2219341,-9999
1605,2109305,-9999
1606,1355450,-9999
1607,415358,-9999
1608,1316348,-9999
1609,1462726,-9999
1610,1443104,-9999
1611,1625717,-9999
1612,1354223,-9999
1613,1352022,-9999
1614,1866520,-9999
1615,1762622,-9999
1616,1331197,-9999
1617,1910397,-9999
1618,1756868,-9999
1619,1565308,-9999
1620,1455086,-9999
1621,1586152,-9999
1622,629191,-9999
1623,1562588,-9999
1624,1411816,-9999
1625,1338998,-9999
1626,1108469,-9999
1627,1239852,-9999
1628,1333083,-9999
1629,1302377,-9999
1630,1212593,-9999
1631,1159428,-9999
1632,946465,-9999
1633,1790835,-9999
1634,1383029,-9999
1635,1435415,-9999
1636,1267020,-9999
1637,1327107,-9999
1638,1305397,-9999
1639,1652303,-9999
1640,1228696,-9999
1641,1233302,-9999
1642,1416091,-9999
1643,734088,-9999
1644,1586852,-9999
1645,1248699,-9999
1646,1166773,-9999
1647,1191908,-9999
1648,1313970,-9999
1649,1844538,-9999
1650,1634648,-9999
1651,1464760,-9999
1652,1127288,-9999
1653,768511,-9999
1654,915258,-9999
1655,1799574,-9999
1656,1201234,-9999
1657,1124747,-9999
1658,1208815,-9999
1659,1435663,-9999
1660,1325386,-9999
1661,1473837,-9999
1662,1701538,-9999
1663,1527890,-9999
1664,1443372,-9999
1665,1047546,-9999
1666,1082768,-9999
1667,1078707,-9999
1668,727845,-9999
