Year,Recon,Observed
1569,2046024,-9999
1570,2712935,-9999
1571,2427504,-9999
1572,2826620,-9999
1573,1563215,-9999
1574,1051118,-9999
1575,2834005,-9999
1576,1591235,-9999
1577,2867437,-9999
1578,2667469,-9999
1579,1653300,-9999
1580,1076589,-9999
1581,2250205,-9999
1582,2167230,-9999
1583,2024032,-9999
1584,438145,-9999
1585,1884270,-9999
1586,2785773,-9999
1587,2166977,-9999
1588,2960822,-9999
1589,2618669,-9999
1590,808925,-9999
1591,1848392,-9999
1592,1661278,-9999
1593,2392298,-9999
1594,2996484,-9999
1595,3014916,-9999
1596,3055995,-9999
1597,2032225,-9999
1598,487361,-9999
1599,3253079,-9999
1600,913131,-9999
1601,2874911,-9999
1602,2871681,-9999
1603,3151375,-9999
1604,3324907,-9999
1605,3159484,-9999
1606,2523177,-9999
1607,1156730,-9999
1608,3228873,-9999
1609,2360831,-9999
1610,2892760,-9999
1611,2674943,-9999
1612,2322974,-9999
1613,3121404,-9999
1614,2794348,-9999
1615,2770129,-9999
1616,2825369,-9999
1617,2998997,-9999
1618,3042448,-9999
1619,2448705,-9999
1620,2473212,-9999
1621,3516258,-9999
1622,1652832,-9999
1623,1875064,-9999
1624,1476486,-9999
1625,1519906,-9999
1626,1358639,-9999
1627,2587165,-9999
1628,2051071,-9999
1629,2294293,-9999
1630,2439261,-9999
1631,1523855,-9999
1632,1502079,-9999
1633,3362933,-9999
1634,1962553,-9999
1635,1963266,-9999
1636,2239032,-9999
1637,2063488,-9999
1638,1880519,-9999
1639,2606139,-9999
1640,2726627,-9999
1641,2230091,-9999
1642,2680641,-9999
1643,2073103,-9999
1644,2991881,-9999
1645,951296,-9999
1646,1533038,-9999
1647,2591602,-9999
1648,2134318,-9999
1649,3103240,-9999
1650,2809802,-9999
1651,2700412,-9999
1652,2219425,-9999
1653,1302762,-9999
1654,1088622,-9999
1655,3665954,-9999
1656,1584105,-9999
1657,1965181,-9999
1658,1513397,-9999
1659,2527837,-9999
1660,2726175,-9999
1661,2494901,-9999
1662,2775077,-9999
1663,2252774,-9999
1664,1867098,-9999
1665,2041329,-9999
1666,1706417,-9999
1667,1769422,-9999
1668,1734726,-9999
1669,3379231,-9999
1670,1649181,-9999
1671,1559559,-9999
1672,3220325,-9999
1673,2798198,-9999
1674,2866332,-9999
1675,1763607,-9999
1676,3062549,-9999
1677,2043916,-9999
1678,3599530,-9999
1679,2052000,-9999
1680,3595097,-9999
1681,2649253,-9999
1682,1888528,-9999
1683,3517637,-9999
1684,1489796,-9999
1685,230871,-9999
1686,1518667,-9999
1687,2628740,-9999
1688,3259034,-9999
1689,2627799,-9999
1690,2668344,-9999
1691,2789715,-9999
1692,2683440,-9999
1693,2933228,-9999
1694,2179536,-9999
1695,2178707,-9999
1696,2596529,-9999
1697,2345514,-9999
1698,3158714,-9999
1699,3065734,-9999
1700,1890234,-9999
1701,3463049,-9999
1702,2416989,-9999
1703,2023120,-9999
1704,1573498,-9999
1705,2783428,-9999
1706,1660265,-9999
1707,1720663,-9999
1708,1519399,-9999
1709,2984759,-9999
1710,2619366,-9999
1711,2351636,-9999
1712,2452218,-9999
1713,2030126,-9999
1714,1001104,-9999
1715,2817514,-9999
1716,2408353,-9999
1717,1753045,-9999
1718,2678817,-9999
1719,3229224,-9999
1720,3954377,-9999
1721,1885564,-9999
1722,942958,-9999
1723,2497668,-9999
1724,2428323,-9999
1725,3030220,-9999
1726,3643781,-9999
1727,2694630,-9999
1728,1914808,-9999
1729,1064170,-9999
1730,2078802,-9999
1731,2234594,-9999
1732,1897410,-9999
1733,2469034,-9999
1734,3050328,-9999
1735,615982,-9999
1736,1566942,-9999
1737,1989432,-9999
1738,2707023,-9999
1739,2424236,-9999
1740,1658835,-9999
1741,2739329,-9999
1742,2519512,-9999
1743,2914117,-9999
1744,1669219,-9999
1745,2641100,-9999
1746,2808714,-9999
1747,3297950,-9999
1748,1129285,-9999
1749,2940521,-9999
1750,1716452,-9999
1751,2509982,-9999
1752,1852582,-9999
1753,3140959,-9999
1754,2144302,-9999
1755,1656071,-9999
1756,1142265,-9999
1757,1898854,-9999
1758,2553047,-9999
1759,1814568,-9999
1760,2949740,-9999
1761,2817781,-9999
1762,3046171,-9999
1763,1459996,-9999
1764,3143946,-9999
1765,1237326,-9999
1766,2748874,-9999
1767,2122341,-9999
1768,3331396,-9999
1769,2981326,-9999
1770,2338646,-9999
1771,3073396,-9999
1772,1301527,-9999
1773,1016420,-9999
1774,2333607,-9999
1775,2390911,-9999
1776,1939444,-9999
1777,2055190,-9999
1778,1414215,-9999
1779,2313057,-9999
1780,1921244,-9999
1781,2208195,-9999
1782,1297694,-9999
1783,2517908,-9999
1784,3082431,-9999
1785,2494448,-9999
1786,1502332,-9999
1787,2886867,-9999
1788,2070173,-9999
1789,1838976,-9999
1790,3484062,-9999
1791,3052102,-9999
1792,3070272,-9999
1793,2184308,-9999
1794,2195786,-9999
1795,1688605,-9999
1796,2908114,-9999
1797,3110571,-9999
1798,613100,-9999
1799,3319864,-9999
1800,2450813,-9999
1801,1858190,-9999
1802,2804204,-9999
1803,1851488,-9999
1804,1761780,-9999
1805,1941640,-9999
1806,1767104,-9999
1807,2849351,-9999
1808,2501299,-9999
1809,1953345,-9999
1810,2662208,-9999
